date,course,lmsc,name,meet_id,meet_url,meet_uuid
"Jan 12, 2020",SCY,MV,Lawrence Masters Neil Salkind Invitational,20200112NielskY,https://www.usms.org/comp/meets/meet.php?MeetID=20200112NielskY,3b5b0c39-02af-464b-a6a9-e8a349e31ed8
"Jan 12, 2020",SCY,SP,Mission Viejo Nadadores SCY Swim Meet,20200112MVNSCYY,https://www.usms.org/comp/meets/meet.php?MeetID=20200112MVNSCYY,f631b440-7e69-4d9b-995d-090d7bb8980c
"Jan 11-12, 2020",SCY,NM,SFAC Winter Open,20200111SFO19WY,https://www.usms.org/comp/meets/meet.php?MeetID=20200111SFO19WY,76da3aac-8590-4ea2-bf06-310e8ff5eedd
"Jan 11-12, 2020",LCM,MN,Premiere Series Midwest Open,20200112PMMDWSL,https://www.usms.org/comp/meets/meet.php?MeetID=20200112PMMDWSL,b8081437-f164-4341-af01-3730edf33d43
"Jan 11, 2020",SCY,GU,The Jesse Coon Memorial Invitational Swim Meet,20200111JESSECY,https://www.usms.org/comp/meets/meet.php?MeetID=20200111JESSECY,76cb8724-0dd2-44af-bf93-ea3c441a7a26
"Jan 11, 2020",SCY,PC,2018 Santa Rosa Masters Resolution Meet,20200111SRM,https://www.usms.org/comp/meets/meet.php?MeetID=20200111SRM-1YY,801bef13-1ef7-4637-96d2-b80ac1cac102
"Jan 11, 2020",SCY,CO,10th Annual Colorado Swimming Hall of Fame Pentathlon,20200111CSHOFY,https://www.usms.org/comp/meets/meet.php?MeetID=20200111CSHOFY,3653f4bb-baf4-403a-8ec9-9518f479c47f
"Jan 10-12, 2020",SCY,AR,NWAA Winter Invitational 2020,20200112NWAA20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200112NWAA20Y,28a7d58e-22cf-4bb9-9772-e5717dd277f9
"Jan 10-12, 2020",LCM,GU,January UofH Invitational Meet - LCM (USA Meet),20200112GUUOFHL,https://www.usms.org/comp/meets/meet.php?MeetID=20200112GUUOFHL,bca82d80-3f1a-4beb-a73a-c13790959fec
"Jan 10-12, 2020",SCY,GU,January UofH Invitational Meet - SCY (USA Meet),20200112GUUOHY,https://www.usms.org/comp/meets/meet.php?MeetID=20200112GUUOHY,10104caf-8d51-4ba5-959a-733c3c2ae8aa
