date,course,lmsc,name,meet_id,meet_url,meet_uuid
"Jan 19, 2020",SCM,PN,Bellevue Club Masters Mile,20200119BCMileS,https://www.usms.org/comp/meets/meet.php?MeetID=20200119BCMileS,e8bb676d-18a2-4b4b-ab62-e74b9c4e29ab
"Jan 19, 2020",SCY,MI,Harper Creek Splash and Dash,20200119harperY,https://www.usms.org/comp/meets/meet.php?MeetID=20200119harperY,43c525f9-4db6-49c9-9e7c-16c80ec059a6
"Jan 18-19, 2020",SCY,IA,2020 Winter Iowa Games,20200118DUB20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200118DUB20Y,6f9efc49-87d4-429a-9e9b-2a58ad88088d
"Jan 18-19, 2020",SCY,MT,2020 MT HOT Tropical Meet,20200118HotTrpY,https://www.usms.org/comp/meets/meet.php?MeetID=20200118HotTrpY,a0f94bbe-8002-4c8d-aa04-1e79afc0e07d
"Jan 18-19, 2020",SCY,FG,2020 Winter Classic,20200119WTRCLCY,https://www.usms.org/comp/meets/meet.php?MeetID=20200119WTRCLCY,2ee514e3-3fc6-4dac-9732-ccc4c8e956fd
"Jan 18, 2020",SCY,SP,Fabulous Las Vegas Masters Short Course Yards Meet,20200118LVMSCY,https://www.usms.org/comp/meets/meet.php?MeetID=20200118LVMSCY,8fcd49c7-0eab-475e-88d0-b0d4fbbe5c12
"Jan 18, 2020",SCM,PC,The Olympic Club 1500 Meter Swim Meet,20200118TOC,https://www.usms.org/comp/meets/meet.php?MeetID=20200118TOC-1SS,328e4301-27e2-4491-8e10-87cc91d70b43
"Jan 18, 2020",SCY,NI,Nickel City Splash Winter White Out,20200118UB20WY,https://www.usms.org/comp/meets/meet.php?MeetID=20200118UB20WY,a0abd388-fdaa-45fc-8e50-e68897d1cec4
"Jan 18, 2020",SCY,AD,2020 Mohonasen Happy New Year AD Masters SCY Swim Meet,20200118Moho20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200118Moho20Y,aa81c86a-e205-4a73-afed-592008b924ac
"Jan 18, 2020",SCY,ST,The Frostbite Invitational,20200118s003Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200118s003Y,6b2d59fc-770b-4016-a784-faefa49090ca
"Jan 17-20, 2020",SCY,NC,2020 January Jump Start,20200120NCSGSAY,https://www.usms.org/comp/meets/meet.php?MeetID=20200120NCSGSAY,bf5cf51b-bd12-4b3b-b829-3f7677a7a6cf
"Jan 17-19, 2020",SCY,OH,Bulldog Aquatics Winter Invitational,20200119BACWinY,https://www.usms.org/comp/meets/meet.php?MeetID=20200119BACWinY,b4e030d5-eb21-4960-9831-06f446a6bd2d
"Jan 17-19, 2020",SCY,SP,2020 CA Coastal Sr Q Qualifier,20200119COASTQY,https://www.usms.org/comp/meets/meet.php?MeetID=20200119COASTQY,a3da0248-6ccb-4916-90a8-182e82df6ca0
"Jan 17-19, 2020",SCY,IN,2020 CSC Winter Invitational,20200119CSCWINY,https://www.usms.org/comp/meets/meet.php?MeetID=20200119CSCWINY,0d1d603c-2350-4f28-988b-8fa71294110c
"Jan 12, 2020",SCY,VA,1st Annual Virginia Beach Sprint Invite,20200112VWUY,https://www.usms.org/comp/meets/meet.php?MeetID=20200112VWUY,e53427c6-e385-4abe-bb32-4c4113f7b87d
"Jan 12, 2020",SCY,KY,2020 Barbara Stevens Memorial Masters Swim Meet,20200112WKGGY,https://www.usms.org/comp/meets/meet.php?MeetID=20200112WKGGY,6945f96f-ebc1-4268-b932-cb4dd539b2da
"Jan 12, 2020",SCY,MI,Eastern Michigan University Coldest Masters Swim Meet,20200112emu20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200112emu20Y,fb84168b-2701-4015-b476-2b1b87ac6499
"Jan 12, 2020",SCY,MT,2020 WRSC Winter Classic,20200112WRSCWCY,https://www.usms.org/comp/meets/meet.php?MeetID=20200112WRSCWCY,30917309-82f7-4a12-8989-9b189559b273
"Jan 12, 2020",SCY,MV,Lawrence Masters Neil Salkind Invitational,20200112NielskY,https://www.usms.org/comp/meets/meet.php?MeetID=20200112NielskY,2e4c64ff-e8da-4688-8dcf-3844e3ba0a80
"Jan 12, 2020",SCY,SP,Mission Viejo Nadadores SCY Swim Meet,20200112MVNSCYY,https://www.usms.org/comp/meets/meet.php?MeetID=20200112MVNSCYY,d39aec6b-0a99-4f93-bb35-36c86132d789
"Jan 11-12, 2020",SCY,NM,SFAC Winter Open,20200111SFO19WY,https://www.usms.org/comp/meets/meet.php?MeetID=20200111SFO19WY,b1e57643-a9a3-4779-9782-6a34b235f20c
"Jan 11-12, 2020",LCM,MN,Premiere Series Midwest Open,20200112PMMDWSL,https://www.usms.org/comp/meets/meet.php?MeetID=20200112PMMDWSL,4d6d194f-7f6a-4955-b231-393f112c3773
"Jan 11, 2020",SCY,GU,The Jesse Coon Memorial Invitational Swim Meet,20200111JESSECY,https://www.usms.org/comp/meets/meet.php?MeetID=20200111JESSECY,347f4f05-3e79-4ead-8589-612223fd1730
"Jan 11, 2020",SCY,PC,2018 Santa Rosa Masters Resolution Meet,20200111SRM,https://www.usms.org/comp/meets/meet.php?MeetID=20200111SRM-1YY,01776d61-6192-4328-8e48-eeee98e60c25
"Jan 11, 2020",SCY,CO,10th Annual Colorado Swimming Hall of Fame Pentathlon,20200111CSHOFY,https://www.usms.org/comp/meets/meet.php?MeetID=20200111CSHOFY,297ee11f-9af1-4ae2-8dcc-ac14e5ec49aa
"Jan 10-12, 2020",SCY,AR,NWAA Winter Invitational 2020,20200112NWAA20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200112NWAA20Y,a64e918e-98ad-4c2b-84af-da85beb1232f
"Jan 10-12, 2020",LCM,GU,January UofH Invitational Meet - LCM (USA Meet),20200112GUUOFHL,https://www.usms.org/comp/meets/meet.php?MeetID=20200112GUUOFHL,37456020-f380-43ff-b741-c328afe4ad32
"Jan 10-12, 2020",SCY,GU,January UofH Invitational Meet - SCY (USA Meet),20200112GUUOHY,https://www.usms.org/comp/meets/meet.php?MeetID=20200112GUUOHY,a9453a21-ef01-47fe-8506-29b762977bd2
"Jan 10-12, 2020",SCM,OK,2020 Swim Tulsa New Years Invitational,20200112STNYIS,https://www.usms.org/comp/meets/meet.php?MeetID=20200112STNYIS,3e002a59-a124-489e-88ec-1ff16bb4b1e2
"Jan 5, 2020",SCY,WI,2020 Wisconsin Masters SCY at Pabst Farms YMCA,20200105PABSTY,https://www.usms.org/comp/meets/meet.php?MeetID=20200105PABSTY,4525deb8-737e-434a-aabc-050dbb44e30c
"Jan 5, 2020",SCY,IL,2019 Lattof YMCA Masters Meet,20200105LATY20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200105LATY20Y,74f8d30b-6309-4779-8f6d-a5fade41bfc5
"Jan 4-5, 2020",SCY,MT,2020 MT GFST Rapids Snowflake,20200104snwflkY,https://www.usms.org/comp/meets/meet.php?MeetID=20200104snwflkY,b931cc35-5cb8-48e1-8dc2-f7d95f52cc2b
"Jan 4, 2020",SCY,AM,The 2020 MLAC Masters New Year Challenge,20200104MLACSCY,https://www.usms.org/comp/meets/meet.php?MeetID=20200104MLACSCY,fb2b38e9-f5f9-4591-8c16-d9bc91011fac
"Dec 29, 2019",SCM,DV,2019 Bill Heebner Memorial Winter Freeze Masters Meet,20191229PAYlcS,https://www.usms.org/comp/meets/meet.php?MeetID=20191229PAYlcS,a038a708-f12a-482b-a71b-8482c4ad2d21
"Dec 19-22, 2019",SCY,OH,King Marlin Pro-Am Classic,20191222KMpramY,https://www.usms.org/comp/meets/meet.php?MeetID=20191222KMpramY,88f1b6a7-8077-48ef-ad34-2a3e73ff9637
"Dec 19-22, 2019",SCY,NT,King Marlin Swim Club Pro-Am Classic,20191222KMPACY,https://www.usms.org/comp/meets/meet.php?MeetID=20191222KMPACY,ccd01b64-47ab-47e3-8eb6-fd7e2add2d84
